id|Os_lang|Ru_lang|Source_File|File_mp3
1|1.1. ÆХСАР ÆМÆ ÆХСÆРТÆДЖЫ РАЙГУЫРД|"РОЖДЕНИЕ АХСАРА И АХСАРТАГА
(краткое содержание)"|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
2|Нартæн уæд сæ хистæр Уæрхæг уыдис.|Был в то время Уархаг старейшим из нартов.|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
3|"Уæрхæгæн райгуырдис дыууæ лæппуйы, фаззæттæ.
Иу дзы райгуырдис фыццаг кæркуасæны, иннæ та райгуырдис дыккаг кæркуасæны, Бонвæрноны скастмæ."|"В час, когда поют первые петухи, родился у нарта Уархага сын.
И в ту же ночь, когда утренняя звезда Бонварнон еще не взошла на небо, в час, когда поют вторые петухи, родился у него второй сын."|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
4|Рухс хуры тынтæ ныккастис Уæрхæгмæ, базыдта, хъæбул куыд адджын у, уый.|С первым солнечным лучом познал Уархаг любовь к детям.|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
5|Уæрхæг йæ лæппуты райгуырды боны фарнæн скодта нæртон куывд сырды фыдæй.|И, чтобы счастлива была жизнь новорожденных его сыновей, устроил Уархаг большой нартский пир.|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
6|Æрхуыдта уæларвæй Куырдалæгоны, фурдæй – Донбеттыры, Нартæй та Борæйы æмæ æндæрты.|"Позвал он на пир небесного кузнеца Курдалагона и повелителя бездны морской Донбеттыра.
Много почетных нартов и во главе их Бора, приглашены были на этот богатый пир."|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
7|Уæрхæджы уарзон лæппутыл буц нæмттæ сæвæрдта уæларв Куырдалæгон: хистæрыл – Æхсар, кæстæрыл – Æхсæртæг.|Любимые свои имена дал небесный Курдалагон сыновьям Уархага: старшего назвал он Ахсар, младшего – Ахсартаг.|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
8|Номæвæрæджы лæварæн Куырдалæгон радта Уæрхæгæн удæвдз йæ куырдадзы фæтыгæй, болат æндонæй арæзт.|И Курдалагон, став кумом Уархагу, подарил ему чудесную свирель, которую сам сковал в своей небесной кузнице.|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
9|Удæвдзы Нарт сæвæрдтой сæ фынгыл, æмæ сын кодта диссаджы зарæг уадындз хъæлæсæй:|На стол положили нарты эту чудесную свирель, и сама она звонко и весело запела:|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
10|"Айс æй, аназ æй, Хуыцауы хæларæй,
Айс æй, аназ æй – ронджы нуазæн!"|"Подыми чашу ронга!
Подыми чашу ронга!
И выпей ее
За здоровье свое."|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
11|Уæрхæджы хуынд уазджытæ иннæбонæй-иннæбонмæ минас фæкодтой, стæй уæд фæфардæг сты: Куырдалæгон абадтис цæхæр уады хъисыл æмæ ныппæррæст ласта уæларвмæ, хæдтæхгæ Пакъуындзæйау, Донбеттыр та фестадис æргъæуон цæхæр кæсаг æмæ ныцъцъыллинг кодта стыр фурды бынмæ, нарт дæр фæфардæг сты хæтæны, стæронтау.|"Семь дней и ночей длился пир.
Дичиной потчевал Уархаг своих гостей.
Кончился пир, вскочил Курдалагон на гребень огненной бури и, словно крылатый Пакундза, умчался в небеса.
Огненной рыбою обернулся Донбеттыр, вильнул гибким хвостом и скрылся в морской бездне."|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
12||Нарты же, как подобает воинам, отправились в походы.|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
13|Уайтагъд айразтысты Æхсар æмæ Æхсæртæг; бон рæзтысты уылынг, æхсæв та – уыдисн.|"Не по дням, а по часам росли Ахсар и Ахсартаг.
За день вырастали они на вершок, а за ночь – на целую пядь."|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
14|Фæлæ тынг фыдуаг рацыдысты.|Озорными мальчишками были Ахсар и Ахсартаг.|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
15|Сарæзтой сæхицæн фæттæ æмæ ‘рдынтæ æмæ арвыл маргъ тæхын нæ уагътой – æрмийæ-иу æй æрæппæрстой.|Сделали они себе луки и стрелы, и не стало птицы, которая могла бы пролететь над ними, — тотчас подбивали они ее, и камнем падала она на землю.|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
16|Айхъуысти дунейыл, зæгъгæ, Нарты Уæрхæгæн рахъомыл и хъæбатыр фырттæ, фазæттæ – Æхсар æмæ Æхсæртæг.|Весь мир скоро узнал, что у нарта Уархага подросли отважные близнецы Ахсар и Ахсартаг.|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
17|Æхсар æмæ Æхсæртæг та цæман хуындтысты?|А почему названы они были Ахсар и Ахсартаг?|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
18|Уымæн, æмæ Æхсар, хистæр æфсымæр, уыд æхсарджын, Æхсæртæг та, кæстæр æфсымæр – Æхсарæй æхсарджындæр.|"Про отважного говорят: ахсар.
Таким был первый брат.
И так его назвали – Ахсар.
Но еще отважнее был второй брат, и назвали его Ахсартаг, что означает отважнейший."|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
19|Дзырдуат|Словарь|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
20|сырды фыдæй|мясом дичи|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
21|фæтыгæй|?|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
22|цæхæр уады хъисыл|искрящимся|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
23|æргъæуон цæхæр кæсаг|переливчатая искрящаяся рыба|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
24|хæтæны, стæронтау|в походы за добычей|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
25|æрмийæ|стоя, без упора (стрелять)|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД|ÆХСАР_ÆМÆ_ÆХСÆРТÆДЖЫ_РАЙГУЫРД.mp3
26|1.2. НАРТЫ ФÆТКЪУЫ|"ЯБЛОКО НАРТОВ
краткое содержание"|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
27|Нартæн сæ цæхæрадоны задис иу фæткъуы бæлас; йæ дидинджытæ-иу æрттывтой æрвыгау, æмæ йыл задис иунæг фæткъуы.|Яблоня росла в саду нартов, небесной лазурью сияли цветы ее, но за день только одно яблоко созревало на ней.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
28|Фæткъуы уыдис сызгъæрин фæткъуы, зынгау æрттывдтытæ калдта.|Золотое было то яблоко и подобно огню сверкало оно.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
29|Æмæ уыдис æлутоны хос адæмæн, иу адзал не здæхта фæстæмæ, уыййедтæмæ цы хъæдгом нæ дзæбæх кодта, цы низæй нæ ирвæзын кодта, ахæм нæ уыдис.|Живительной силой обладало то яблоко, исцеляло оно людей от всякой болезни и любые раны залечивало, но только от смерти не спасало.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
30|Бон-изæрмæ-иу арæгъæд ис уыцы фæткъуы, æхсæв та-иу æй цыдæр адавта.|Целый день зрело яблоко, сверкая на верхушке дерева, но каждую ночь кто-то его похищал.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
31|Æмæ йæ хъахъхъæдтой радыгай Нарт; æмæ йæ ничи фæрæзта бахъахъхъæнын.|Нарты по очереди стерегли свое яблоко, но никто из них ни разу не видел вора, а яблоко каждую ночь исчезало.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
32|Уæд иу бон æрзылдис Уæрхæгæн йæхи рад.|Пришел черед сторожить сад Уархагу.|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
33|Æрбасидтис йæ фырттæм, Æхсар æмæ Æхсæртæгмæ, Уæрхæг æмæ сын загъта:|Призвал он своих сыновей Ахсара и Ахсартага и сказал им:|НАРТЫ_ФÆТКЪУЫ|НАРТЫ_ФÆТКЪУЫ.mp3
